GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Tenure : Total\ Tenure - Unit : Persons,Tenure : Total\ Tenure - Unit : Households,Tenure : Owned - Unit : Persons,Tenure : Owned - Unit : Households,Total Owned outright per Person,Total Owned outright per Households,Tenure : Owned\ Owned with a mortgage or loan - Unit : Persons,Tenure : Owned\ Owned with a mortgage or loan - Unit : Households,Tenure : Owner occupied - Unit : Households,Tenure : Owner occupied\ Owned outright - Unit : Households,Tenure : Owner occupied\ Owned with a mortgage or loan - Unit : Households,Shared ownership (part owned and part rented) per Person,Shared ownership (part owned and part rented) per Households,Tenure : Social rented - Unit : Persons,Total Social rented per Households,Tenure : Social rented\ Rented from council (Local Authority) - Unit : Persons,Tenure : Social rented\ Rented from council (Local Authority) - Unit : Households,Tenure : Social rented\ Rented from Northern Ireland Housing Executive (NIHE) - Unit : Households,Tenure : Social rented\ Housing association or charitable trust - Unit : Households,Tenure : Social rented\ Other social rented - Unit : Persons,Tenure : Social rented\ Other social rented - Unit : Households,Tenure : Social rented\ Other social rented (including accommodation that is rented from a registered social landlord; housing association; housing co-operative or charitable trust) - Unit : Households,Tenure : Social rented\ Other - Unit : Households,Tenure : Rented\ Rented from council (Local Authority) - Unit : Households,Tenure : Rented\ Other social rented - Unit : Households,Tenure : Rented\ Private landlord or letting agency - Unit : Households,Tenure : Rented from Northern Ireland Housing Executive (NIHE) - Unit : Households,Tenure : Rented from housing association or charitable trust - Unit : Households,Tenure : Rented from other (including rented from an employer of a household member or relative or friend of a household member) - Unit : Households,Tenure : Rented from private landlord or letting agency - Unit : Households,Total Private rented per Persons,Total Private rented per Households,Tenure : Private rented\ Private landlord or letting agency - Unit : Persons,Tenure : Private rented\ Private landlord or letting agency - Unit : Households,Tenure : Private rented\ Employer of a household member - Unit : Persons,Tenure : Private rented\ Employer of a household member - Unit : Households,Tenure : Private rented\ Relative or friend of household member - Unit : Persons,Tenure : Private rented\ Relative or friend of household member - Unit : Households,Tenure : Private rented\ Other - Unit : Persons,Tenure : Private rented\ Other - Unit : Households,Tenure : Private rented\ Other than private landlord or letting agency - Unit : Households,Total Living rent-free per Persons,Living rent-free per Households
E09000025,Newham,Local Authorities,LA,306009,101519,104948,33822,34553,12993,70395,20829,,,,4218,1806,79268,30092,48607,18592,18592,,30661,11500,11500,11500,,,,,,,,114285,34570,109872,33118,275,98,2735,871,1403,483,1452,3290,1229
E09000026,Redbridge,Local Authorities,LA,277323,99105,179459,62983,62848,27911,116611,35072,,,,2321,1003,26951,11289,15344,6269,6269,,11607,5020,5020,5020,,,,,,,,66046,22657,62772,21441,233,85,2450,915,591,216,1216,2546,1173
E09000027,Richmond upon Thames,Local Authorities,LA,184098,79835,121678,50750,47349,23756,74329,26994,,,,1152,601,20497,10051,5374,2451,2451,,15123,7600,7600,7600,,,,,,,,38925,17440,36703,16410,482,176,1305,643,435,211,1030,1846,993
E09000028,Southwark,Local Authorities,LA,282560,120422,79928,35330,23407,11805,56521,23525,,,,4979,2453,123617,52644,89496,37628,37628,,34121,15016,15016,15016,,,,,,,,70707,28493,66455,26752,537,212,2766,1132,949,397,1741,3329,1502
E09000029,Sutton,Local Authorities,LA,188695,78174,132054,53152,43542,22357,88512,30795,,,,1349,611,25293,11422,14788,6421,6421,,10505,5001,5001,5001,,,,,,,,28930,12429,27212,11671,179,76,1357,589,182,93,758,1069,560
E09000030,Tower Hamlets,Local Authorities,LA,250343,101257,54394,24552,16884,8648,37510,15904,,,,4475,2383,111197,40106,50503,17548,17548,,60694,22558,22558,22558,,,,,,,,77204,32964,73107,31227,320,151,2160,965,1617,621,1737,3073,1252
E09000031,Waltham Forest,Local Authorities,LA,256615,96861,125751,48361,42823,19396,82928,28965,,,,2344,1018,52977,21376,26904,10401,10401,,26073,10975,10975,10975,,,,,,,,73097,25102,69982,23919,273,104,2079,780,763,299,1183,2446,1004
E09000032,Wandsworth,Local Authorities,LA,301648,130493,134978,59393,49500,24067,85478,35326,,,,3513,1911,57646,26516,38456,16752,16752,,19190,9764,9764,9764,,,,,,,,102638,41317,97776,39171,737,284,3413,1536,712,326,2146,2873,1356
E41000052,Cornwall; Isles of Scilly,Local Authorities,LA,525555,231378,361552,158936,176838,92426,184714,66510,,,,4035,1765,63590,27834,28943,12954,12954,,34647,14880,14880,14880,,,,,,,,89273,38899,77829,34142,2317,851,7323,3198,1804,708,4757,7105,3944
E41000324,City of London; Westminster,Local Authorities,LA,220395,110157,65499,34142,35652,19785,29847,14357,,,,1670,898,61698,28073,30446,13001,13001,,31252,15072,15072,15072,,,,,,,,84787,43522,80044,41183,1152,490,2142,1132,1449,717,2339,6741,3522
S12000005,Clackmannanshire,Local Authorities,LA,50439,22734,32944,14106,11432,6027,21400,8013,,,,112,66,13164,6502,9534,4743,4743,,3630,1759,1759,1759,4743,1759,1671,,,,,3904,1876,3497,1671,34,15,302,163,71,205,205,427,250
S12000006,Dumfries & Galloway,Local Authorities,LA,149341,67980,98629,43613,48251,25270,49870,18055,,,,508,288,26970,13356,0,0,0,,26970,13356,13356,13356,0,13356,8070,,,,,19984,9190,17551,8070,508,196,1625,777,300,1120,1120,3758,1821
S12000008,East Ayrshire,Local Authorities,LA,121306,53919,79719,33398,27410,14062,52192,19276,,,,117,60,31032,15579,24513,12610,12610,,6519,2969,2969,2969,12610,2969,3953,,,,,9566,4412,8633,3953,84,33,688,357,161,459,459,989,530
S12000010,East Lothian,Local Authorities,LA,97819,42905,66751,28074,23550,12424,42780,15420,,,,421,230,21432,10171,17228,8090,8090,,4204,2081,2081,2081,8090,2081,3666,,,,,8545,4074,7758,3666,133,52,569,309,85,408,408,1091,586
S12000011,East Renfrewshire,Local Authorities,LA,89988,37225,76986,30524,28099,14308,48695,16123,,,,192,93,7892,4320,5671,3115,3115,,2221,1205,1205,1205,3115,1205,1820,,,,,4569,2067,4061,1820,49,17,381,181,78,247,247,541,314
S12000013,Eilean Siar,Local Authorities,LA,27318,12576,20627,9191,11547,5894,9041,3277,,,,39,20,4313,2212,0,0,0,,4313,2212,2212,2212,0,2212,667,,,,,1736,858,1334,667,54,23,308,141,40,191,191,642,315
S12000014,Falkirk,Local Authorities,LA,154192,68732,106344,44482,34086,17751,71927,26567,,,,331,164,36767,18595,31156,15539,15539,,5611,3056,3056,3056,15539,3056,4449,,,,,10061,4995,8976,4449,44,20,931,465,110,546,546,1020,660
S12000015,Fife,Local Authorities,LA,357440,160952,241335,104266,88458,47316,151723,56381,,,,1154,569,73602,36957,57336,29009,29009,,16266,7948,7948,7948,29009,7948,15727,,,,,39471,17951,34398,15727,1093,383,3019,1480,961,2224,2224,3032,1778
S12000017,Highland,Local Authorities,LA,228364,102091,158348,68600,71191,36716,85494,31119,,,,1663,765,40023,19318,27488,13453,13453,,12535,5865,5865,5865,13453,5865,10079,,,,,25234,11793,21402,10079,1129,430,2087,999,616,1714,1714,4759,2380
S12000018,Inverclyde,Local Authorities,LA,80261,37434,53709,23164,18426,9876,34921,13105,,,,362,183,18744,10093,0,0,0,,18744,10093,10093,10093,0,10093,3527,,,,,7425,3942,6694,3527,40,17,537,298,154,415,415,383,235
S12000019,Midlothian,Local Authorities,LA,82257,34978,54948,22702,18473,9633,36244,12960,,,,231,109,20744,9317,14488,6530,6530,,6256,2787,2787,2787,6530,2787,2144,,,,,5892,2578,4810,2144,296,94,507,246,279,434,434,673,381
S12000020,Moray,Local Authorities,LA,91203,40062,61385,26409,26969,13970,34222,12344,,,,194,95,16140,7753,11490,5662,5662,,4650,2091,2091,2091,5662,2091,3843,,,,,12009,5056,8534,3843,1660,519,706,332,1109,1213,1213,1669,844
S12000021,North Ayrshire,Local Authorities,LA,136609,62498,89436,38871,32979,17796,56153,20940,,,,304,135,34758,17423,26521,13426,13426,,8237,3997,3997,3997,13426,3997,5055,,,,,11535,5652,10381,5055,136,52,895,480,123,597,597,880,552
S12000023,Orkney Islands,Local Authorities,LA,21151,9725,15860,6913,8592,4292,6959,2466,,,,309,155,2620,1345,1400,757,757,,1220,588,588,588,757,588,902,,,,,2058,1095,1652,902,56,24,316,152,34,193,193,613,372
S12000024,Perth & Kinross,Local Authorities,LA,142139,64777,97787,42694,41958,22099,54839,20112,,,,990,483,21456,11120,14241,7473,7473,,7215,3647,3647,3647,7473,3647,8534,,,,,19968,9474,18015,8534,603,245,1103,568,247,940,940,2928,1489
S12000026,Scottish Borders,Local Authorities,LA,112589,52498,72867,32301,32741,17447,39760,14674,,,,366,180,22195,11450,0,0,0,,22195,11450,11450,11450,0,11450,6427,,,,,14537,7212,13022,6427,324,136,924,502,267,785,785,2990,1535
S12000027,Shetland Islands,Local Authorities,LA,22981,9950,16042,6506,7847,3727,8026,2709,,,,169,70,4693,2356,3629,1858,1858,,1064,498,498,498,1858,498,698,,,,,1802,854,1444,698,67,27,236,104,55,156,156,444,234
S12000028,South Ayrshire,Local Authorities,LA,111270,51286,79997,35416,33513,18041,46246,17271,,,,238,104,19099,9835,15555,8092,8092,,3544,1743,1743,1743,8092,1743,4813,,,,,11044,5362,9937,4813,159,67,844,430,104,549,549,1130,673
S12000029,South Lanarkshire,Local Authorities,LA,310501,139188,225892,95055,72323,37920,153026,56841,,,,543,294,59379,31488,47526,25526,25526,,11853,5962,5962,5962,25526,5962,10178,,,,,23146,11386,20840,10178,186,71,1893,1017,227,1208,1208,2084,1259
S12000030,Stirling,Local Authorities,LA,85874,37566,59309,24878,23568,12076,35475,12658,,,,266,144,15288,7469,11609,5559,5559,,3679,1910,1910,1910,5559,1910,4060,,,,,10123,4591,8998,4060,236,92,722,357,167,531,531,1154,628
S12000033,Aberdeen City,Local Authorities,LA,214243,103371,127591,59209,48482,25901,77659,32560,,,,1450,748,47838,25184,40437,20942,20942,,7401,4242,4242,4242,20942,4242,15630,,,,,36496,17582,32686,15630,518,210,2891,1548,401,1952,1952,2318,1396
S12000034,Aberdeenshire,Local Authorities,LA,250471,104714,189421,76050,75011,36486,113493,39167,,,,917,397,33482,16894,24234,12541,12541,,9248,4353,4353,4353,12541,4353,8758,,,,,23666,9868,21069,8758,667,233,1529,720,401,1110,1110,3902,1902
S12000035,Argyll & Bute,Local Authorities,LA,85694,40125,59017,26678,27885,15103,30807,11417,,,,325,158,14714,7586,0,0,0,,14714,7586,7586,7586,0,7586,4056,,,,,10369,5028,8002,4056,1086,369,795,423,486,972,972,1594,833
S12000036,Edinburgh; City of,Local Authorities,LA,462334,223051,283044,132819,107822,60420,172737,71057,,,,2485,1342,68183,37956,37160,20305,20305,,31023,17651,17651,17651,20305,17651,45689,,,,,107256,49878,98594,45689,1118,378,5987,3166,1557,4189,4189,3851,2398
S12000038,Renfrewshire,Local Authorities,LA,172717,80902,120962,52398,38225,20520,82395,31692,,,,342,186,35688,19873,22087,12712,12712,,13601,7161,7161,7161,12712,7161,7325,,,,,15215,8074,13833,7325,141,59,1070,601,171,749,749,852,557
S12000039,West Dunbartonshire,Local Authorities,LA,90028,42167,54763,23407,17138,8981,37161,14160,,,,464,266,29566,15708,19075,10332,10332,,10491,5376,5376,5376,10332,5376,2431,,,,,5280,2777,4669,2431,24,12,542,305,45,346,346,419,275
S12000040,West Lothian,Local Authorities,LA,173312,73398,116203,46424,32463,16410,83349,29818,,,,391,196,39620,19222,26489,12812,12812,,13131,6410,6410,6410,12812,6410,6428,,,,,16442,7121,15055,6428,94,38,1124,573,169,693,693,1047,631
S12000041,Angus,Local Authorities,LA,114445,51616,78397,33500,32086,16875,46024,16486,,,,287,139,21134,11094,14458,7771,7771,,6676,3323,3323,3323,7771,3323,5287,,,,,12915,5990,11436,5287,374,152,871,450,234,703,703,1999,1032
S12000042,Dundee City,Local Authorities,LA,142101,69193,77135,34885,28784,15971,47728,18609,,,,623,305,38152,20797,22581,12826,12826,,15571,7971,7971,7971,12826,7971,11906,,,,,25887,12921,23888,11906,79,34,1738,876,182,1015,1015,927,590
S12000044,North Lanarkshire,Local Authorities,LA,335317,145998,219419,88872,60806,31376,157811,57126,,,,802,370,91310,45416,74817,37363,37363,,16493,8053,8053,8053,37363,8053,9619,,,,,22981,10705,20867,9619,91,45,1742,903,281,1086,1086,1607,1005
S12000045,East Dunbartonshire,Local Authorities,LA,104431,43473,87880,35364,34272,17288,53480,18003,,,,128,73,10484,5219,7429,3699,3699,,3055,1520,1520,1520,3699,1520,2233,,,,,5414,2511,4892,2233,44,18,421,222,57,278,278,653,379
S12000046,Glasgow City,Local Authorities,LA,578251,285693,284213,130217,88806,48667,191782,79769,,,,3625,1781,195063,104811,0,0,0,,195063,104811,104811,104811,0,104811,43814,,,,,94307,48019,86310,43814,296,120,6596,3525,1105,4205,4205,4668,2646
W06000001,Isle of Anglesey,Local Authorities,LA,68941,30594,48289,20971,24354,12444,23935,8527,,,,144,63,9460,4487,8107,3899,3899,,1353,588,588,588,,,,,,,,9688,4324,8253,3699,293,104,865,410,277,111,625,1360,749
W06000002,Gwynedd,Local Authorities,LA,117974,52473,77714,34324,40747,21168,36967,13156,,,,378,171,18933,8561,10097,4385,4385,,8836,4176,4176,4176,,,,,,,,18596,8060,16284,6978,324,134,1660,775,328,173,1082,2353,1357
W06000003,Conwy,Local Authorities,LA,112531,51177,79430,35501,37885,20409,41545,15092,,,,865,378,12670,5946,5569,2592,2592,,7101,3354,3354,3354,,,,,,,,18113,8534,16366,7729,165,67,1331,624,251,114,805,1453,818
W06000004,Denbighshire,Local Authorities,LA,92483,40546,64366,27792,28425,14937,35941,12855,,,,609,267,11795,5325,7173,3283,3283,,4622,2042,2042,2042,,,,,,,,14415,6446,12948,5798,197,83,1137,502,133,63,648,1298,716
W06000005,Flintshire,Local Authorities,LA,151679,63781,112348,46451,43735,22397,68613,24054,,,,754,340,21267,9651,15540,7209,7209,,5727,2442,2442,2442,,,,,,,,16162,6729,14322,5914,109,53,1537,676,194,86,815,1148,610
W06000006,Wrexham,Local Authorities,LA,133244,57029,86565,36272,33726,17364,52839,18908,,,,444,211,28644,12803,24741,10942,10942,,3903,1861,1861,1861,,,,,,,,15912,6775,14375,6062,169,70,1194,568,174,75,713,1679,968
W06000008,Ceredigion,Local Authorities,LA,71444,31562,48433,21323,27206,13821,21227,7502,,,,267,110,6563,3196,2080,1008,1008,,4483,2188,2188,2188,,,,,,,,15004,6275,13540,5653,128,62,915,409,421,151,622,1177,658
W06000009,Pembrokeshire,Local Authorities,LA,120545,53122,83966,36558,43273,22307,40693,14251,,,,287,140,18830,8312,12885,5822,5822,,5945,2490,2490,2490,,,,,,,,15777,7188,13365,6180,544,196,1547,682,321,130,1008,1685,924
W06000010,Carmarthenshire,Local Authorities,LA,181227,78829,132231,56326,64798,32648,67433,23678,,,,380,178,24267,11672,18252,8833,8833,,6015,2839,2839,2839,,,,,,,,21856,9301,19324,8196,238,98,1962,851,332,156,1105,2493,1352
W06000011,Swansea,Local Authorities,LA,234363,103497,154125,66259,65590,34576,88535,31683,,,,667,308,40233,19878,28056,13104,13104,,12177,6774,6774,6774,,,,,,,,35991,15260,32468,13688,214,89,2744,1245,565,238,1572,3347,1792
W06000012,Neath Port Talbot,Local Authorities,LA,138682,60393,97855,41479,42936,21976,54919,19503,,,,196,111,25099,11545,17634,7496,7496,,7465,4049,4049,4049,,,,,,,,13791,6186,12144,5404,84,41,1393,655,170,86,782,1741,1072
W06000013,Bridgend,Local Authorities,LA,136842,58515,101059,42348,39386,20459,61673,21889,,,,284,143,17377,8099,5139,2332,2332,,12238,5767,5767,5767,,,,,,,,16826,7188,14853,6310,112,54,1602,713,259,111,878,1296,737
W06000014,The Vale of Glamorgan,Local Authorities,LA,124259,53505,91624,38647,35887,18954,55737,19693,,,,245,125,13505,6354,8607,4025,4025,,4898,2329,2329,2329,,,,,,,,17871,7813,15401,6780,692,226,1334,630,444,177,1033,1014,566
W06000015,Cardiff,Local Authorities,LA,334551,142557,200870,84262,73516,37788,127354,46474,,,,1327,639,53671,24374,29969,13547,13547,,23702,10827,10827,10827,,,,,,,,74740,31220,69559,28972,338,145,3948,1717,895,386,2248,3943,2062
W06000016,Rhondda Cynon Taf,Local Authorities,LA,231885,99663,168023,70760,70272,36338,97751,34422,,,,295,150,29190,13673,15193,6836,6836,,13997,6837,6837,6837,,,,,,,,32001,13604,29211,12334,113,45,2399,1088,278,137,1270,2376,1476
W06000018,Caerphilly,Local Authorities,LA,177755,74479,125939,51632,47709,24188,78230,27444,,,,437,216,31426,13962,23060,10464,10464,,8366,3498,3498,3498,,,,,,,,18760,7995,16920,7178,90,32,1593,712,157,73,817,1193,674
W06000019,Blaenau Gwent,Local Authorities,LA,69239,30416,44509,18884,19397,10019,25112,8865,,,,75,40,15594,7284,7617,3364,3364,,7977,3920,3920,3920,,,,,,,,8562,3892,7707,3480,53,19,628,303,174,90,412,499,316
W06000020,Torfaen,Local Authorities,LA,90360,38524,61242,25518,23409,12176,37833,13342,,,,396,199,20440,9100,8848,3840,3840,,11592,5260,5260,5260,,,,,,,,7672,3315,6744,2894,45,16,721,331,162,74,421,610,392
W06000021,Monmouthshire,Local Authorities,LA,89694,38233,67554,28142,30385,15269,37169,12873,,,,311,141,11384,5288,3466,1590,1590,,7918,3698,3698,3698,,,,,,,,9411,4130,8323,3651,167,68,789,347,132,64,479,1034,532
W06000022,Newport,Local Authorities,LA,144103,61172,95439,39272,35033,18229,60406,21043,,,,686,325,26716,12122,13773,5981,5981,,12943,6141,6141,6141,,,,,,,,19730,8572,18176,7870,105,54,1172,510,277,138,702,1532,881
W06000023,Powys,Local Authorities,LA,131047,58345,92439,40090,51329,25626,41110,14464,,,,408,179,17070,8161,11163,5371,5371,,5907,2790,2790,2790,,,,,,,,18688,8638,16062,7522,544,207,1638,742,444,167,1116,2442,1277
W06000024,Merthyr Tydfil,Local Authorities,LA,58334,24264,38765,15843,16822,8277,21943,7566,,,,94,42,12175,5118,6037,2379,2379,,6138,2739,2739,2739,,,,,,,,6541,2809,5914,2500,49,25,474,232,104,52,309,759,452
