GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Tenure : Total\ Tenure - Unit : Persons,Tenure : Total\ Tenure - Unit : Households,Tenure : Owned - Unit : Persons,Tenure : Owned - Unit : Households,Total Owned outright per Person,Total Owned outright per Households,Tenure : Owned\ Owned with a mortgage or loan - Unit : Persons,Tenure : Owned\ Owned with a mortgage or loan - Unit : Households,Tenure : Owner occupied - Unit : Households,Tenure : Owner occupied\ Owned outright - Unit : Households,Tenure : Owner occupied\ Owned with a mortgage or loan - Unit : Households,Shared ownership (part owned and part rented) per Person,Shared ownership (part owned and part rented) per Households,Tenure : Social rented - Unit : Persons,Total Social rented per Households,Tenure : Social rented\ Rented from council (Local Authority) - Unit : Persons,Tenure : Social rented\ Rented from council (Local Authority) - Unit : Households,Tenure : Social rented\ Rented from Northern Ireland Housing Executive (NIHE) - Unit : Households,Tenure : Social rented\ Housing association or charitable trust - Unit : Households,Tenure : Social rented\ Other social rented - Unit : Persons,Tenure : Social rented\ Other social rented - Unit : Households,Tenure : Social rented\ Other social rented (including accommodation that is rented from a registered social landlord; housing association; housing co-operative or charitable trust) - Unit : Households,Tenure : Social rented\ Other - Unit : Households,Tenure : Rented\ Rented from council (Local Authority) - Unit : Households,Tenure : Rented\ Other social rented - Unit : Households,Tenure : Rented\ Private landlord or letting agency - Unit : Households,Tenure : Rented from Northern Ireland Housing Executive (NIHE) - Unit : Households,Tenure : Rented from housing association or charitable trust - Unit : Households,Tenure : Rented from other (including rented from an employer of a household member or relative or friend of a household member) - Unit : Households,Tenure : Rented from private landlord or letting agency - Unit : Households,Total Private rented per Persons,Total Private rented per Households,Tenure : Private rented\ Private landlord or letting agency - Unit : Persons,Tenure : Private rented\ Private landlord or letting agency - Unit : Households,Tenure : Private rented\ Employer of a household member - Unit : Persons,Tenure : Private rented\ Employer of a household member - Unit : Households,Tenure : Private rented\ Relative or friend of household member - Unit : Persons,Tenure : Private rented\ Relative or friend of household member - Unit : Households,Tenure : Private rented\ Other - Unit : Persons,Tenure : Private rented\ Other - Unit : Households,Tenure : Private rented\ Other than private landlord or letting agency - Unit : Households,Total Living rent-free per Persons,Living rent-free per Households
E07000128,Wyre,Local Authorities,LA,105962,47281,83178,36676,38093,20423,45085,16253,,,,544,246,7177,3401,1126,522,522,,6051,2879,2879,2879,,,,,,,,14083,6397,12815,5791,158,71,1001,475,109,60,606,980,561
E07000129,Blaby,Local Authorities,LA,92894,38686,77217,31309,28821,14745,48396,16564,,,,502,247,5564,2948,1395,721,721,,4169,2227,2227,2227,,,,,,,,9096,3876,8126,3471,110,38,763,325,97,42,405,515,306
E07000130,Charnwood,Local Authorities,LA,158719,66516,116688,47961,46881,23729,69807,24232,,,,1007,539,16751,7851,11015,5306,5306,,5736,2545,2545,2545,,,,,,,,22895,9396,21097,8590,261,102,1299,590,238,114,806,1378,769
E07000131,Harborough,Local Authorities,LA,84008,34898,68157,27238,26690,13389,41467,13849,,,,878,414,5763,2923,1065,481,481,,4698,2442,2442,2442,,,,,,,,8460,3922,7649,3540,139,57,575,274,97,51,382,750,401
E07000132,Hinckley and Bosworth,Local Authorities,LA,104275,45377,81901,34826,32233,16859,49668,17967,,,,603,267,10177,4685,6892,3238,3238,,3285,1447,1447,1447,,,,,,,,10839,5156,9786,4657,128,65,774,364,151,70,499,755,443
E07000133,Melton,Local Authorities,LA,49916,21490,37147,15498,15129,7728,22018,7770,,,,388,198,5098,2402,3758,1814,1814,,1340,588,588,588,,,,,,,,6681,3054,5958,2738,203,76,381,183,139,57,316,602,338
E07000134,North West Leicestershire,Local Authorities,LA,92697,39128,69241,28360,27005,13581,42236,14779,,,,610,302,12379,5598,9399,4181,4181,,2980,1417,1417,1417,,,,,,,,9709,4411,8800,3997,93,35,717,336,99,43,414,758,457
E07000135,Oadby and Wigston,Local Authorities,LA,53765,21339,44161,17239,18592,9069,25569,8170,,,,364,161,3576,1610,2569,1147,1147,,1007,463,463,463,,,,,,,,5291,2117,4818,1922,45,17,360,153,68,25,195,373,212
E07000136,Boston,Local Authorities,LA,63736,27291,40194,17430,17552,9243,22642,8187,,,,589,230,10730,4965,4076,1671,1671,,6654,3294,3294,3294,,,,,,,,11569,4291,10655,3908,227,85,495,220,192,78,383,654,375
E07000137,East Lindsey,Local Authorities,LA,133400,60890,93243,42137,48569,25826,44674,16311,,,,1017,482,14290,6705,3681,1605,1605,,10609,5100,5100,5100,,,,,,,,23018,10554,19947,9334,1085,377,1476,657,510,186,1220,1832,1012
E07000138,Lincoln,Local Authorities,LA,87880,39825,48719,21932,17524,9717,31195,12215,,,,465,220,18278,8729,15526,7381,7381,,2752,1348,1348,1348,,,,,,,,19503,8345,18168,7709,92,48,1107,524,136,64,636,915,599
E07000139,North Kesteven,Local Authorities,LA,105980,45972,79750,34187,32311,17115,47439,17072,,,,432,221,10007,4694,7795,3693,3693,,2212,1001,1001,1001,,,,,,,,14599,6184,11089,4906,1873,602,815,400,822,276,1278,1192,686
E07000140,South Holland,Local Authorities,LA,87409,37264,63174,27035,27925,14623,35249,12412,,,,588,260,10520,4728,8449,3828,3828,,2071,900,900,900,,,,,,,,12215,4714,10912,4173,384,159,735,308,184,74,541,912,527
E07000141,South Kesteven,Local Authorities,LA,132493,57344,94051,39809,36626,19258,57425,20551,,,,1016,502,17199,7701,13369,5949,5949,,3830,1752,1752,1752,,,,,,,,18592,8389,16993,7653,365,133,1005,496,229,107,736,1635,943
E07000142,West Lindsey,Local Authorities,LA,87850,38385,65100,27859,28300,14672,36800,13187,,,,732,365,8826,4246,2108,911,911,,6718,3335,3335,3335,,,,,,,,11885,5253,10299,4594,609,216,734,336,243,107,659,1307,662
E07000143,Breckland,Local Authorities,LA,127632,54519,86987,37427,38589,20167,48398,17260,,,,692,310,17482,7511,3037,1287,1287,,14445,6224,6224,6224,,,,,,,,20517,8294,17973,7306,890,297,1256,546,398,145,988,1954,977
E07000144,Broadland,Local Authorities,LA,122931,53336,98359,42343,44100,23080,54259,19263,,,,726,304,10200,4567,981,480,480,,9219,4087,4087,4087,,,,,,,,12574,5519,11176,4860,299,117,961,466,138,76,659,1072,603
E07000145,Great Yarmouth,Local Authorities,LA,96230,42079,62112,27073,28466,15024,33646,12049,,,,299,146,16310,7255,12898,5824,5824,,3412,1431,1431,1431,,,,,,,,16366,6926,14906,6280,276,117,942,427,242,102,646,1143,679
E07000146,King's Lynn and West Norfolk,Local Authorities,LA,145253,62977,100481,43707,47637,24908,52844,18799,,,,677,275,18809,8393,4612,1946,1946,,14197,6447,6447,6447,,,,,,,,22677,9278,18765,7832,1654,535,1351,581,907,330,1446,2609,1324
E07000147,North Norfolk,Local Authorities,LA,99023,46046,69050,32293,38864,21083,30186,11210,,,,420,199,13410,5904,2694,1123,1123,,10716,4781,4781,4781,,,,,,,,14301,6664,12821,5997,358,151,954,433,168,83,667,1842,986
E07000148,Norwich,Local Authorities,LA,127754,60319,55870,26442,22161,12463,33709,13979,,,,931,433,40717,19702,32001,15222,15222,,8716,4480,4480,4480,,,,,,,,29066,13089,26962,12122,164,69,1691,784,249,114,967,1170,653
E07000149,South Norfolk,Local Authorities,LA,122219,52809,93120,39555,42044,21563,51076,17992,,,,1227,537,13133,5965,3238,1440,1440,,9895,4525,4525,4525,,,,,,,,13162,5916,11763,5278,259,106,1018,468,122,64,638,1577,836
E07000150,Corby,Local Authorities,LA,60990,25215,38815,15669,11315,5917,27500,9752,,,,240,94,11560,5278,9655,4463,4463,,1905,815,815,815,,,,,,,,9837,3839,9265,3582,41,17,476,210,55,30,257,538,335
E07000151,Daventry,Local Authorities,LA,75886,31647,55867,22688,20976,10533,34891,12155,,,,554,271,10055,4412,2895,1282,1282,,7160,3130,3130,3130,,,,,,,,8623,3832,7842,3471,158,63,520,243,103,55,361,787,444
E07000152,East Northamptonshire,Local Authorities,LA,84910,35662,63042,25837,22284,11419,40758,14418,,,,390,175,10526,4737,1815,805,805,,8711,3932,3932,3932,,,,,,,,10197,4471,9198,4032,239,96,688,304,72,39,439,755,442
E07000153,Kettering,Local Authorities,LA,92521,39701,66375,27562,23002,12070,43373,15492,,,,678,342,10786,5187,7228,3506,3506,,3558,1681,1681,1681,,,,,,,,13780,6048,12701,5533,107,53,880,418,92,44,515,902,562
E07000154,Northampton,Local Authorities,LA,208463,88731,133699,55622,42118,22307,91581,33315,,,,2225,1134,32025,15113,24078,11319,11319,,7947,3794,3794,3794,,,,,,,,38682,15817,36130,14657,166,72,2082,951,304,137,1160,1832,1045
E07000155,South Northamptonshire,Local Authorities,LA,84497,34717,66468,26485,23954,12029,42514,14456,,,,829,357,7603,3505,1978,901,901,,5625,2604,2604,2604,,,,,,,,8584,3840,7698,3439,191,84,525,246,170,71,401,1013,530
E07000156,Wellingborough,Local Authorities,LA,74583,32057,50964,21286,18380,9584,32584,11702,,,,634,315,11906,5676,3858,1720,1720,,8048,3956,3956,3956,,,,,,,,10339,4360,9452,3965,88,37,666,300,133,58,395,740,420
E07000163,Craven,Local Authorities,LA,54375,24583,40937,17973,19712,10396,21225,7577,,,,208,116,4112,2212,1139,558,558,,2973,1654,1654,1654,,,,,,,,8186,3782,7278,3360,198,89,544,261,166,72,422,932,500
E07000164,Hambleton,Local Authorities,LA,87321,38117,61847,26508,29613,15135,32234,11373,,,,328,156,10116,4923,855,372,372,,9261,4551,4551,4551,,,,,,,,13555,5770,10220,4622,1765,546,720,340,850,262,1148,1475,760
E07000165,Harrogate,Local Authorities,LA,153821,67169,111527,47738,48194,25118,63333,22620,,,,826,395,11977,6138,6879,3608,3608,,5098,2530,2530,2530,,,,,,,,27261,11771,23600,10394,1328,438,1423,638,910,301,1377,2230,1127
E07000166,Richmondshire,Local Authorities,LA,47344,20207,29577,12910,14153,7295,15424,5615,,,,198,104,4664,2183,2949,1451,1451,,1715,732,732,732,,,,,,,,11924,4519,6736,2877,2695,810,539,240,1954,592,1642,981,491
E07000167,Ryedale,Local Authorities,LA,50611,22524,34374,15124,18168,9329,16206,5795,,,,153,83,6203,2896,438,213,213,,5765,2683,2683,2683,,,,,,,,8582,3773,7527,3321,396,163,496,216,163,73,452,1299,648
E07000168,Scarborough,Local Authorities,LA,106427,49435,71457,32520,35420,19323,36037,13197,,,,590,302,12591,6134,2637,1163,1163,,9954,4971,4971,4971,,,,,,,,20325,9640,18472,8812,283,108,1208,559,362,161,828,1464,839
E07000169,Selby,Local Authorities,LA,82725,34559,63702,25911,24216,11929,39486,13982,,,,396,201,8805,4161,6016,2902,2902,,2789,1259,1259,1259,,,,,,,,8888,3796,7980,3400,203,78,602,269,103,49,396,934,490
E07000170,Ashfield,Local Authorities,LA,118213,50931,83571,35261,32974,16952,50597,18309,,,,495,235,18279,8258,14051,6460,6460,,4228,1798,1798,1798,,,,,,,,14796,6504,13479,5908,74,31,1120,501,123,64,596,1072,673
E07000171,Bassetlaw,Local Authorities,LA,109979,47667,79112,33115,31880,16295,47232,16820,,,,352,172,14922,7579,12120,6152,6152,,2802,1427,1427,1427,,,,,,,,14068,5975,12641,5362,294,111,962,411,171,91,613,1525,826
E07000172,Broxtowe,Local Authorities,LA,108570,46820,80833,34270,33755,17351,47078,16919,,,,309,168,10502,5218,8590,4192,4192,,1912,1026,1026,1026,,,,,,,,15982,6594,14251,5902,453,143,965,435,313,114,692,944,570
E07000173,Gedling,Local Authorities,LA,112759,49349,86638,37138,35533,18603,51105,18535,,,,551,271,10438,4926,4355,1961,1961,,6083,2965,2965,2965,,,,,,,,14243,6488,12885,5850,104,46,1102,517,152,75,638,889,526
E07000174,Mansfield,Local Authorities,LA,103487,44928,70661,29908,28311,14658,42350,15250,,,,316,169,16995,8199,12528,6208,6208,,4467,1991,1991,1991,,,,,,,,14602,6115,13450,5616,56,23,991,425,105,51,499,913,537
E07000175,Newark and Sherwood,Local Authorities,LA,112526,48773,81732,34455,33819,17399,47913,17056,,,,490,253,14796,7050,10734,5087,5087,,4062,1963,1963,1963,,,,,,,,14251,6278,12814,5648,202,87,1059,462,176,81,630,1257,737
E07000176,Rushcliffe,Local Authorities,LA,108804,45835,85624,35142,35682,17973,49942,17169,,,,649,333,7698,3854,2254,1056,1056,,5444,2798,2798,2798,,,,,,,,14001,6082,12883,5595,129,45,799,357,190,85,487,832,424
E07000177,Cherwell,Local Authorities,LA,138916,56728,97849,39303,34948,17512,62901,21791,,,,965,443,16323,6872,3651,1453,1453,,12672,5419,5419,5419,,,,,,,,21937,9206,19672,8304,675,233,1032,469,558,200,902,1842,904
E07000178,Oxford,Local Authorities,LA,133241,55375,61104,25873,26038,13277,35066,12596,,,,2122,959,27181,11828,17895,7513,7513,,9286,4315,4315,4315,,,,,,,,40554,15634,37797,14458,634,277,1260,524,863,375,1176,2280,1081
E07000179,South Oxfordshire,Local Authorities,LA,131483,54104,97190,39461,40403,20113,56787,19348,,,,1016,459,14349,6163,1871,854,854,,12478,5309,5309,5309,,,,,,,,17262,7211,13996,5999,1607,541,781,354,878,317,1212,1666,810
E07000180,Vale of White Horse,Local Authorities,LA,118044,49407,83798,34750,34848,17704,48950,17046,,,,1105,514,15382,6583,2821,1230,1230,,12561,5353,5353,5353,,,,,,,,16027,6733,12277,5423,1977,625,651,304,1122,381,1310,1732,827
E07000181,West Oxfordshire,Local Authorities,LA,102415,43241,72105,30141,28901,14915,43204,15226,,,,1340,548,12443,5387,1611,738,738,,10832,4649,4649,4649,,,,,,,,15056,6423,11396,5108,1960,628,730,336,970,351,1315,1471,742
E07000187,Mendip,Local Authorities,LA,106031,46157,76168,32438,33622,17387,42546,15051,,,,770,349,12003,5473,3092,1320,1320,,8911,4153,4153,4153,,,,,,,,15618,7136,14121,6449,285,115,1082,503,130,69,687,1472,761
